fight_id,event_date,category,fighter_a_name,fighter_b_name,age_a,age_b,age_diff,stance_a,stance_b,height_diff,reach_diff,win_pct_diff,ko_rate_diff,sub_rate_diff,dec_rate_diff,ko_loss_rate_diff,sub_loss_rate_diff,sig_str_landed_per_min_diff,sig_str_absorbed_per_min_diff,sig_str_accuracy_diff,td_avg_per_15min_diff,td_accuracy_diff,td_defense_diff,sub_att_per_15min_diff,ctrl_time_pct_diff,days_since_last_fight_diff,win_streak_diff,losing_streak_diff,total_fights_diff,elo_diff,recent_3_wins_diff,recent_3_losses_diff,recent_5_wins_diff,recent_5_losses_diff,recent_3_ko_loss_rate_diff,recent_5_ko_loss_rate_diff,decay_sig_per_min_diff,decay_sig_absorbed_per_min_diff,decay_td_per_15min_diff,avg_opp_elo_diff,avg_opp_elo_wins_diff,winner
fight_00032,2001-09-28,Lightweight,Fabiano Iha,Din Thomas,31.0,25.0,6.0,Orthodox,Orthodox,-2.0,,0.5,,,,0.0,0.0,0.7442642957042608,0.3826083788949941,0.07858724932654892,-1.8752482851440995,-0.04992492492492484,-0.024024024024023927,8.653846153846153,-0.5325854700854701,0.0,0,0,1,28.4750662141455,1,0,1,0,-0.5,-0.5,2.291424372157228,0.8012854938506666,-1.6139160008262423,-72.0,,2
fight_00033,2001-11-02,Heavyweight,Pedro Rizzo,Randy Couture,27.0,38.0,-11.0,Orthodox,Orthodox,0.0,,-0.5,1.0,0.0,-1.0,,,-0.5746672107567867,1.0971813867423685,-0.26583710407239813,-2.166584987944566,-0.06047819971870605,-0.07775768535262206,0.0,-0.10466666666666667,0.0,-1,1,1,-61.179147241664396,0,1,0,1,0.0,0.0,-0.7394288525953926,1.3677356712348094,-0.6,-48.0,-48.0,2
fight_00034,2001-11-02,Heavyweight,Pete Williams,Ricco Rodriguez,26.0,24.0,2.0,Orthodox,Orthodox,-3.0,,-1.0,,,,,,0.12792412129393882,0.14444741438228892,0.0384060384060384,2.8503185781731375,0.18679829655439412,0.0,-1.3177159590043925,0.46583825149809055,56.0,-1,1,0,-96.0,-1,1,-1,1,1.0,1.0,0.15826176208661014,0.11252660337202464,1.0018716698615873,0.0,,2
fight_00035,2001-11-02,Welterweight,Matt Hughes,Carlos Newton,28.0,25.0,3.0,Switch,Orthodox,0.0,,,,,,,,,,0.21499741003686884,,0.042283298097251565,0.0,,,,-1,0,-1,-48.0,-1,0,-1,0,,,,,,,,1
fight_00036,2001-11-02,Lightweight,Caol Uno,BJ Penn,26.0,22.0,4.0,Southpaw,Orthodox,-5.0,0.0,-0.5,0.0,0.0,0.0,,,-1.8271672793221625,-0.2518523503486971,-0.0955350282931503,-6.07843055631823,-0.15555555555555556,0.0,0.0,-0.5266884531590413,0.0,-1,0,0,-76.4750662141455,-1,1,-1,1,0.0,0.0,-2.9757479537750724,-0.10860914950672468,-1.9480688940984956,24.0,48.0,2
fight_00037,2001-11-02,Heavyweight,Bobby Hoffman,Josh Barnett,33.0,23.0,10.0,Orthodox,Orthodox,-2.0,,-0.5,,,,,,0.6329146206039358,-0.5046732143881951,0.37640060302326533,7.488484536482969,-0.07062600321027279,0.0,-1.0948905109489053,-0.25672625974117563,126.0,-1,0,-1,-12.935360165022303,-1,-1,-1,-1,-0.5,-0.5,3.6011686289217737,-1.2527292007935682,-1.227627393013964,-24.0,,2
fight_00038,2001-11-02,Light Heavyweight,Homer Moore,Evan Tanner,29.0,30.0,-1.0,Orthodox,Orthodox,-5.0,,,,,,,,,,0.06130268199233718,,0.0,0.05434782608695654,,,,0,-1,-1,48.0,0,-1,0,-1,,,,,,,,2
fight_00039,2001-11-02,Middleweight,Phil Baroni,Matt Lindland,25.0,31.0,-6.0,Orthodox,Southpaw,-8.0,-5.0,1.0,,,,,,1.3530886617957334,-0.00037889972551963247,0.20089907430163023,2.016432925498103,0.0,-0.05673758865248224,0.0,0.15949477351916375,70.0,1,0,0,48.0,1,0,1,0,0.0,0.0,2.3728222996515687,-0.13937282229965156,0.4547038327526134,0.0,,2
fight_00040,2001-11-02,Heavyweight,Roberto Traven,Frank Mir,33.0,22.0,11.0,Orthodox,Southpaw,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00041,2002-01-11,Lightweight,BJ Penn,Jens Pulver,23.0,27.0,-4.0,Orthodox,Southpaw,5.0,0.0,0.0,1.0,0.0,-1.0,,,2.9479410173911615,0.39009393489619093,0.30599781171209756,8.660352484476224,0.12242268041237114,-0.10137457044673537,-0.3,0.5439999999999999,-35.0,1,0,1,37.60196645735937,1,0,1,0,0.0,0.0,4.216412725661326,0.2983879065741089,6.079250996253831,4.311786721674025,4.311786721674025,2
fight_00042,2002-01-11,Heavyweight,Ricco Rodriguez,Jeff Monson,24.0,30.0,-6.0,Orthodox,Orthodox,18.0,,,,,,,,,,-0.017624977110419326,,-0.006249999999999978,0.0,,,,2,0,2,83.0646398349777,2,0,2,0,,,,,,,,1
fight_00043,2002-01-11,Middleweight,Murilo Bustamante,Dave Menne,35.0,27.0,8.0,Orthodox,Orthodox,10.0,,-1.0,,,,,,-0.13108486287094656,0.6278084177614646,-0.19716487751169842,3.0415401964040623,-0.21065862242332833,-0.08974358974358976,-0.6,-0.049111111111111105,0.0,-1,1,0,-89.4104263791678,-1,1,-1,1,0.0,0.0,-0.26666666666666666,0.7999999999999999,1.4,48.0,,1
fight_00044,2002-01-11,Light Heavyweight,Chuck Liddell,Amar Suloev,32.0,25.0,7.0,Orthodox,Orthodox,13.0,,,,,,,,,,-0.0665163757947263,,0.0,0.2087970323264441,,,,2,0,2,89.4104263791678,2,0,2,0,,,,,,,,1
fight_00045,2002-01-11,Middleweight,Andrei Semenov,Ricardo Almeida,24.0,25.0,-1.0,Orthodox,Orthodox,0.0,,,,,,,,,,-0.11561054868141485,,0.0011261261261261701,0.16516516516516516,,,,-1,0,-2,-48.0,-1,0,-1,0,,,,,,,,1
fight_00046,2002-01-11,Light Heavyweight,Kevin Randleman,Renato Sobral,30.0,26.0,4.0,Orthodox,Orthodox,-7.0,,,,,,,,,,0.0,,-0.09999999999999998,0.0,,,,0,1,1,-48.0,0,1,0,1,,,,,,,,1
fight_00047,2002-01-11,Welterweight,Gil Castillo,Chris Brennan,36.0,30.0,6.0,Southpaw,Orthodox,2.0,,,,,,,,,,0.0,,-0.08478260869565218,-0.05507246376811592,,,,0,1,1,-48.0,0,1,0,1,,,,,,,,1
fight_00048,2002-01-11,Middleweight,Eugene Jackson,Keith Rockel,35.0,36.0,-1.0,Orthodox,Orthodox,-10.0,,,,,,,,,,-0.09326530612244899,,0.09914529914529913,-0.05508072174738843,,,,0,1,1,-48.0,0,1,0,1,,,,,,,,1
fight_00049,2002-03-22,Heavyweight,Randy Couture,Josh Barnett,38.0,24.0,14.0,Orthodox,Orthodox,-5.0,-8.0,0.33333333333333337,0.0,-0.5,0.5,,,-0.15308327629069574,-0.6346682134217629,0.31577970198622846,-0.6756655588081726,-0.11111111111111116,-0.07304277643260693,-1.2977649603460706,-0.07831940753064479,0.0,0,0,-1,35.074551572269,0,-1,0,-1,-0.3333333333333333,-0.3333333333333333,-0.06922303580331213,-0.6301875044860228,-0.589783214459126,4.705213189583901,-3.294786810416099,2
